Consumption SE areas in MWh;;;;;;
Data was last updated 31-12-2019;;;;;;
;Hours;SE1;SE2;SE3;SE4;SE
01.01.2018;00 - 01;1141;2189;9735;2498;15564
01.01.2018;01 - 02;1016;2198;9584;2431;15229
01.01.2018;02 - 03;1206;2213;9438;2402;15259
01.01.2018;03 - 04;1195;2092;9381;2358;15026
01.01.2018;04 - 05;1201;2023;9235;2385;14844
01.01.2018;05 - 06;1230;2016;9346;2441;15033
01.01.2018;06 - 07;1268;1995;9546;2489;15298
01.01.2018;07 - 08;1262;2070;9720;2487;15538
01.01.2018;08 - 09;1322;2027;9939;2478;15765
01.01.2018;09 - 10;1211;2179;10190;2502;16082
01.01.2018;10 - 11;1349;2254;10491;2508;16602
01.01.2018;11 - 12;1294;2231;10786;2504;16814
01.01.2018;12 - 13;1267;2246;10934;2619;17065
01.01.2018;13 - 14;1337;2240;10978;2605;17160
01.01.2018;14 - 15;1379;2303;11082;2659;17423
01.01.2018;15 - 16;1335;2380;11436;2789;17940
01.01.2018;16 - 17;1369;2374;11689;2919;18351
01.01.2018;17 - 18;1296;2393;11732;3011;18433
01.01.2018;18 - 19;1324;2270;11625;2977;18196
01.01.2018;19 - 20;1341;2243;11384;2952;17919
01.01.2018;20 - 21;1290;2243;10973;2939;17445
01.01.2018;21 - 22;1298;2162;10559;2781;16799
01.01.2018;22 - 23;1237;2174;10236;2673;16321
01.01.2018;23 - 00;1169;1980;9758;2589;15495
02.01.2018;00 - 01;1141;1902;9316;2575;14934
02.01.2018;01 - 02;1150;1866;9139;2473;14628
02.01.2018;02 - 03;1145;1824;9143;2412;14524
02.01.2018;03 - 04;1113;1802;9363;2389;14667
02.01.2018;04 - 05;1034;1860;10275;2460;15629
02.01.2018;05 - 06;1138;1928;10735;2625;16426
02.01.2018;06 - 07;1265;2063;10542;2989;16858
02.01.2018;07 - 08;1318;2515;11602;3357;18792
02.01.2018;08 - 09;1295;2344;12098;3547;19285
02.01.2018;09 - 10;1248;2389;12205;3532;19373
02.01.2018;10 - 11;1303;2345;12524;3627;19798
02.01.2018;11 - 12;1317;2354;12621;3623;19915
