Consumption SE areas in MWh;;;;;;
Data was last updated 08-02-2017;;;;;;
;Hours;SE1;SE2;SE3;SE4;SE
01.01.2015;00 - 01;966;1837;9560;2343;14706
01.01.2015;01 - 02;1120;1819;9520;2267;14725
01.01.2015;02 - 03;1092;1835;9277;2281;14485
01.01.2015;03 - 04;1059;1794;9132;2313;14297
01.01.2015;04 - 05;1019;1775;9083;2372;14248
01.01.2015;05 - 06;990;1752;9102;2424;14267
01.01.2015;06 - 07;1045;1862;9353;2395;14654
01.01.2015;07 - 08;1066;1872;9567;2489;14994
01.01.2015;08 - 09;1033;1908;9629;2593;15162
01.01.2015;09 - 10;1010;1883;9733;2541;15166
01.01.2015;10 - 11;1192;1893;10024;2561;15671
01.01.2015;11 - 12;1179;2002;10248;2704;16133
01.01.2015;12 - 13;1098;1938;10425;2717;16178
01.01.2015;13 - 14;1107;1941;10528;2698;16273
01.01.2015;14 - 15;1196;1917;10642;2776;16530
01.01.2015;15 - 16;1178;2125;10902;2882;17087
01.01.2015;16 - 17;1260;2074;11095;3085;17514
01.01.2015;17 - 18;1291;2067;11079;3190;17628
01.01.2015;18 - 19;1275;2145;10858;3154;17433
01.01.2015;19 - 20;1260;2012;10580;3022;16872
01.01.2015;20 - 21;1197;2005;10334;2921;16456
01.01.2015;21 - 22;1171;1871;10042;2803;15887
01.01.2015;22 - 23;1101;1875;9611;2664;15250
01.01.2015;23 - 00;1136;1825;9279;2551;14791
02.01.2015;00 - 01;1125;1756;8795;2523;14199
02.01.2015;01 - 02;1110;1731;8579;2502;13920
02.01.2015;02 - 03;1120;1594;8471;2462;13648
02.01.2015;03 - 04;1055;1621;8460;2460;13596
02.01.2015;04 - 05;1119;1699;8482;2498;13798
02.01.2015;05 - 06;1127;1916;8793;2587;14422
02.01.2015;06 - 07;1243;1983;9501;2825;15551
02.01.2015;07 - 08;1245;2104;10235;3033;16618
02.01.2015;08 - 09;1255;2104;10652;3161;17173
02.01.2015;09 - 10;1263;1944;10875;3197;17280
02.01.2015;10 - 11;1291;1827;11125;3272;17516
02.01.2015;11 - 12;1322;1878;11272;3311;17782
02.01.2015;12 - 13;1359;1863;11226;3360;17808
02.01.2015;13 - 14;1184;1898;11211;3368;17661
02.01.2015;14 - 15;1190;2009;11275;3350;17823
02.01.2015;15 - 16;1320;2147;11639;3416;18522
02.01.2015;16 - 17;1347;2050;11982;3547;18927
02.01.2015;17 - 18;1367;1974;12011;3573;18926
02.01.2015;18 - 19;1351;2020;11808;3497;18676
02.01.2015;19 - 20;1296;1987;11545;3407;18234
02.01.2015;20 - 21;1296;1915;11223;3258;17691
02.01.2015;21 - 22;1293;1784;10857;3131;17065
02.01.2015;22 - 23;1221;1843;10390;2917;16371
