Wind power SE in MWh;;;;;;
Data was last updated 24-09-2018;;;;;;
;Hours;SE1;SE2;SE3;SE4;SE
01.01.2018;00 - 01;248;466;765;438;
01.01.2018;01 - 02;238;450;656;428;
01.01.2018;02 - 03;229;497;589;387;
01.01.2018;03 - 04;219;589;536;366;
01.01.2018;04 - 05;187;639;477;361;
01.01.2018;05 - 06;178;658;444;361;
01.01.2018;06 - 07;174;691;407;452;
01.01.2018;07 - 08;167;713;419;618;
01.01.2018;08 - 09;170;704;394;789;
01.01.2018;09 - 10;167;662;351;904;
01.01.2018;10 - 11;124;621;299;1089;
01.01.2018;11 - 12;108;599;292;1204;
01.01.2018;12 - 13;94;545;361;1148;
01.01.2018;13 - 14;79;504;417;1190;
01.01.2018;14 - 15;67;438;457;1210;
01.01.2018;15 - 16;66;397;431;1250;
01.01.2018;16 - 17;74;369;418;1281;
01.01.2018;17 - 18;84;322;430;1227;
01.01.2018;18 - 19;85;327;473;1229;
01.01.2018;19 - 20;78;299;530;1175;
01.01.2018;20 - 21;68;242;620;1069;
01.01.2018;21 - 22;57;226;667;1013;
01.01.2018;22 - 23;50;220;735;940;
01.01.2018;23 - 00;47;212;853;863;
02.01.2018;00 - 01;36;205;863;781;
02.01.2018;01 - 02;31;209;896;768;
02.01.2018;02 - 03;25;193;852;798;
02.01.2018;03 - 04;23;171;838;801;
02.01.2018;04 - 05;23;171;889;747;
02.01.2018;05 - 06;19;162;876;704;
02.01.2018;06 - 07;17;174;874;645;
02.01.2018;07 - 08;15;154;878;608;
02.01.2018;08 - 09;19;149;881;528;
02.01.2018;09 - 10;22;131;851;465;
02.01.2018;10 - 11;21;142;724;433;
02.01.2018;11 - 12;21;134;596;404;
02.01.2018;12 - 13;22;133;555;420;
02.01.2018;13 - 14;24;158;542;403;
02.01.2018;14 - 15;28;170;514;374;
02.01.2018;15 - 16;35;199;567;390;
02.01.2018;16 - 17;44;215;603;436;
02.01.2018;17 - 18;45;220;601;418;
02.01.2018;18 - 19;45;252;540;313;
02.01.2018;19 - 20;44;307;481;375;
02.01.2018;20 - 21;42;302;455;393;
02.01.2018;21 - 22;43;288;391;387;
02.01.2018;22 - 23;40;305;365;321;
02.01.2018;23 - 00;36;300;331;338;
03.01.2018;00 - 01;33;309;318;327;
03.01.2018;01 - 02;26;232;376;355;
03.01.2018;02 - 03;37;186;380;439;
03.01.2018;03 - 04;44;182;410;576;
03.01.2018;04 - 05;66;178;455;744;
03.01.2018;05 - 06;66;191;517;903;
03.01.2018;06 - 07;57;213;598;1039;
03.01.2018;07 - 08;55;223;717;1172;
03.01.2018;08 - 09;56;245;812;1266;
03.01.2018;09 - 10;53;241;913;1307;
03.01.2018;10 - 11;65;203;980;1339;
03.01.2018;11 - 12;78;155;1045;1354;
03.01.2018;12 - 13;87;132;1134;1335;
03.01.2018;13 - 14;95;110;1226;1234;
03.01.2018;14 - 15;70;97;1288;1044;
03.01.2018;15 - 16;65;90;1344;965;
03.01.2018;16 - 17;38;71;1381;888;
03.01.2018;17 - 18;26;61;1381;767;
03.01.2018;18 - 19;15;51;1341;643;
03.01.2018;19 - 20;11;52;1331;513;
03.01.2018;20 - 21;15;57;1304;406;
03.01.2018;21 - 22;30;61;1285;319;
03.01.2018;22 - 23;26;57;1262;249;
03.01.2018;23 - 00;35;63;1201;228;
04.01.2018;00 - 01;34;84;1153;213;
04.01.2018;01 - 02;44;118;1133;180;
04.01.2018;02 - 03;53;164;1098;135;
04.01.2018;03 - 04;56;198;1043;88;
04.01.2018;04 - 05;77;247;1011;66;
04.01.2018;05 - 06;77;304;965;59;
04.01.2018;06 - 07;69;305;910;60;
04.01.2018;07 - 08;70;307;813;95;
04.01.2018;08 - 09;67;298;770;82;
04.01.2018;09 - 10;75;313;760;65;
04.01.2018;10 - 11;75;350;732;62;
04.01.2018;11 - 12;88;357;698;76;
04.01.2018;12 - 13;96;356;632;90;
04.01.2018;13 - 14;125;390;544;91;
04.01.2018;14 - 15;141;437;513;106;
04.01.2018;15 - 16;150;570;510;121;
04.01.2018;16 - 17;165;561;500;146;
04.01.2018;17 - 18;167;552;505;158;
04.01.2018;18 - 19;178;519;483;139;
04.01.2018;19 - 20;194;567;447;108;
04.01.2018;20 - 21;205;631;385;104;
04.01.2018;21 - 22;213;661;363;114;
04.01.2018;22 - 23;229;691;362;105;
04.01.2018;23 - 00;240;661;352;84;
05.01.2018;00 - 01;284;643;347;69;
05.01.2018;01 - 02;313;709;350;51;
05.01.2018;02 - 03;327;761;354;44;
05.01.2018;03 - 04;346;770;316;35;
05.01.2018;04 - 05;357;855;336;37;
05.01.2018;05 - 06;383;918;340;43;
05.01.2018;06 - 07;386;958;325;41;
05.01.2018;07 - 08;386;973;329;33;
05.01.2018;08 - 09;380;1004;342;28;
05.01.2018;09 - 10;387;1027;339;29;
05.01.2018;10 - 11;384;1039;324;31;
05.01.2018;11 - 12;385;1033;314;18;
05.01.2018;12 - 13;384;1022;329;25;
05.01.2018;13 - 14;386;998;360;43;
05.01.2018;14 - 15;390;971;364;54;
05.01.2018;15 - 16;391;928;354;47;
05.01.2018;16 - 17;386;893;348;51;
05.01.2018;17 - 18;383;897;296;60;
05.01.2018;18 - 19;376;909;270;81;
05.01.2018;19 - 20;368;919;265;101;
05.01.2018;20 - 21;358;896;276;145;
05.01.2018;21 - 22;349;946;269;117;
05.01.2018;22 - 23;334;951;283;116;
05.01.2018;23 - 00;335;1005;285;134;
06.01.2018;00 - 01;320;1001;305;117;
06.01.2018;01 - 02;304;1048;311;92;
06.01.2018;02 - 03;329;1073;326;77;
06.01.2018;03 - 04;355;1152;353;59;
06.01.2018;04 - 05;355;1245;362;50;
06.01.2018;05 - 06;372;1346;359;56;
06.01.2018;06 - 07;388;1406;392;58;
06.01.2018;07 - 08;390;1418;435;75;
06.01.2018;08 - 09;409;1430;467;60;
06.01.2018;09 - 10;438;1492;507;40;
06.01.2018;10 - 11;462;1516;525;48;
06.01.2018;11 - 12;454;1550;553;56;
06.01.2018;12 - 13;458;1554;562;69;
06.01.2018;13 - 14;464;1546;564;104;
06.01.2018;14 - 15;470;1580;660;141;
06.01.2018;15 - 16;461;1512;776;229;
06.01.2018;16 - 17;468;1538;885;257;
06.01.2018;17 - 18;484;1480;892;362;
06.01.2018;18 - 19;477;1608;921;436;
06.01.2018;19 - 20;453;1689;942;534;
06.01.2018;20 - 21;429;1712;981;590;
06.01.2018;21 - 22;428;1705;1074;553;
06.01.2018;22 - 23;426;1718;1090;536;
06.01.2018;23 - 00;427;1709;1093;478;
07.01.2018;00 - 01;432;1768;1029;463;
07.01.2018;01 - 02;462;1741;901;408;
07.01.2018;02 - 03;469;1757;829;388;
07.01.2018;03 - 04;486;1704;813;370;
07.01.2018;04 - 05;478;1651;817;323;
07.01.2018;05 - 06;465;1624;789;314;
07.01.2018;06 - 07;392;1452;787;242;
07.01.2018;07 - 08;364;1336;978;183;
07.01.2018;08 - 09;307;1401;1127;161;
07.01.2018;09 - 10;256;1514;1318;118;
07.01.2018;10 - 11;291;1701;1504;126;
07.01.2018;11 - 12;341;1764;1597;160;
07.01.2018;12 - 13;307;1832;1714;223;
07.01.2018;13 - 14;284;1792;1773;303;
07.01.2018;14 - 15;214;1633;1851;428;
07.01.2018;15 - 16;85;1425;1875;551;
07.01.2018;16 - 17;14;1425;1899;659;
07.01.2018;17 - 18;12;1479;1925;778;
07.01.2018;18 - 19;92;1660;1883;831;
07.01.2018;19 - 20;187;1719;1822;855;
07.01.2018;20 - 21;208;1726;1784;847;
07.01.2018;21 - 22;258;1718;1717;853;
07.01.2018;22 - 23;282;1706;1601;860;
07.01.2018;23 - 00;361;1662;1474;835;
08.01.2018;00 - 01;391;1517;1387;785;
08.01.2018;01 - 02;415;1366;1248;744;
08.01.2018;02 - 03;438;1361;1145;609;
08.01.2018;03 - 04;425;1235;1024;530;
08.01.2018;04 - 05;450;1232;953;434;
08.01.2018;05 - 06;451;1182;843;376;
08.01.2018;06 - 07;432;1049;818;294;
08.01.2018;07 - 08;442;1060;873;216;
08.01.2018;08 - 09;446;1149;878;147;
08.01.2018;09 - 10;433;1298;866;81;
08.01.2018;10 - 11;427;1278;837;39;
08.01.2018;11 - 12;441;1178;779;23;
08.01.2018;12 - 13;449;1061;747;28;
08.01.2018;13 - 14;449;1074;728;40;
08.01.2018;14 - 15;419;1189;731;46;
08.01.2018;15 - 16;382;1244;764;54;
08.01.2018;16 - 17;371;1296;784;57;
08.01.2018;17 - 18;365;1300;801;52;
08.01.2018;18 - 19;362;1283;770;34;
08.01.2018;19 - 20;343;1301;726;44;
08.01.2018;20 - 21;305;1270;754;47;
08.01.2018;21 - 22;327;1293;737;58;
08.01.2018;22 - 23;304;1235;712;65;
08.01.2018;23 - 00;283;1266;709;78;
09.01.2018;00 - 01;277;1182;754;85;
09.01.2018;01 - 02;221;1198;713;100;
09.01.2018;02 - 03;251;1120;650;104;
09.01.2018;03 - 04;256;1115;598;118;
09.01.2018;04 - 05;268;1159;565;148;
09.01.2018;05 - 06;274;1170;530;158;
09.01.2018;06 - 07;260;1233;554;239;
09.01.2018;07 - 08;266;1179;557;334;
09.01.2018;08 - 09;315;1118;501;439;
09.01.2018;09 - 10;343;1118;437;521;
09.01.2018;10 - 11;300;1060;429;542;
09.01.2018;11 - 12;306;1014;362;566;
09.01.2018;12 - 13;318;1051;360;612;
09.01.2018;13 - 14;293;1031;404;711;
09.01.2018;14 - 15;290;970;426;827;
09.01.2018;15 - 16;287;951;464;951;
09.01.2018;16 - 17;271;892;521;1039;
09.01.2018;17 - 18;300;863;596;1116;
09.01.2018;18 - 19;268;825;621;1171;
09.01.2018;19 - 20;249;753;642;1209;
09.01.2018;20 - 21;218;406;683;1246;
09.01.2018;21 - 22;240;218;788;1249;
09.01.2018;22 - 23;221;142;860;1226;
09.01.2018;23 - 00;195;109;927;1201;
10.01.2018;00 - 01;168;103;1001;1185;
10.01.2018;01 - 02;145;88;1042;1147;
10.01.2018;02 - 03;134;99;1061;1146;
10.01.2018;03 - 04;121;100;1084;1086;
10.01.2018;04 - 05;97;109;1088;1042;
10.01.2018;05 - 06;61;106;1088;968;
10.01.2018;06 - 07;37;85;1105;878;
10.01.2018;07 - 08;25;87;1115;856;
10.01.2018;08 - 09;12;80;1132;876;
10.01.2018;09 - 10;7;95;1106;850;
10.01.2018;10 - 11;6;131;1126;838;
10.01.2018;11 - 12;8;191;1131;824;
10.01.2018;12 - 13;13;277;1108;767;
10.01.2018;13 - 14;13;328;1150;696;
10.01.2018;14 - 15;6;357;1109;623;
10.01.2018;15 - 16;4;473;1063;551;
10.01.2018;16 - 17;8;507;1032;518;
10.01.2018;17 - 18;17;567;976;478;
10.01.2018;18 - 19;17;558;898;458;
10.01.2018;19 - 20;11;497;827;420;
10.01.2018;20 - 21;6;432;781;464;
10.01.2018;21 - 22;9;376;762;487;
10.01.2018;22 - 23;18;251;752;460;
10.01.2018;23 - 00;21;237;781;452;
11.01.2018;00 - 01;17;231;779;440;
11.01.2018;01 - 02;26;282;742;433;
11.01.2018;02 - 03;36;372;724;416;
11.01.2018;03 - 04;45;502;682;398;
11.01.2018;04 - 05;39;630;642;366;
11.01.2018;05 - 06;41;690;635;346;
11.01.2018;06 - 07;39;702;645;379;
11.01.2018;07 - 08;57;739;608;420;
11.01.2018;08 - 09;84;718;593;422;
11.01.2018;09 - 10;95;662;564;459;
11.01.2018;10 - 11;102;636;558;456;
11.01.2018;11 - 12;135;628;523;462;
11.01.2018;12 - 13;150;556;475;497;
11.01.2018;13 - 14;174;524;455;502;
11.01.2018;14 - 15;200;448;440;523;
11.01.2018;15 - 16;240;436;410;574;
11.01.2018;16 - 17;229;455;421;643;
11.01.2018;17 - 18;225;498;451;656;
11.01.2018;18 - 19;249;600;450;695;
11.01.2018;19 - 20;248;671;471;681;
11.01.2018;20 - 21;212;769;461;718;
11.01.2018;21 - 22;240;786;426;699;
11.01.2018;22 - 23;268;788;422;680;
11.01.2018;23 - 00;268;853;411;686;
12.01.2018;00 - 01;260;949;401;648;
12.01.2018;01 - 02;262;934;402;607;
12.01.2018;02 - 03;279;915;370;591;
12.01.2018;03 - 04;302;809;301;543;
12.01.2018;04 - 05;296;669;260;561;
12.01.2018;05 - 06;289;549;256;518;
12.01.2018;06 - 07;310;394;244;543;
12.01.2018;07 - 08;269;306;202;505;
12.01.2018;08 - 09;242;280;196;500;
12.01.2018;09 - 10;225;256;181;476;
12.01.2018;10 - 11;207;268;198;457;
12.01.2018;11 - 12;229;293;194;414;
12.01.2018;12 - 13;300;293;193;391;
12.01.2018;13 - 14;266;273;176;371;
12.01.2018;14 - 15;238;230;165;367;
12.01.2018;15 - 16;206;173;141;438;
12.01.2018;16 - 17;197;139;146;472;
12.01.2018;17 - 18;202;99;144;501;
12.01.2018;18 - 19;190;99;153;548;
12.01.2018;19 - 20;151;92;157;572;
12.01.2018;20 - 21;93;84;174;548;
12.01.2018;21 - 22;76;93;183;523;
12.01.2018;22 - 23;58;102;174;513;
12.01.2018;23 - 00;49;120;177;439;
13.01.2018;00 - 01;41;129;163;413;
13.01.2018;01 - 02;26;160;178;415;
13.01.2018;02 - 03;28;161;169;403;
13.01.2018;03 - 04;38;135;160;415;
13.01.2018;04 - 05;52;160;157;435;
13.01.2018;05 - 06;76;207;148;416;
13.01.2018;06 - 07;98;306;161;412;
13.01.2018;07 - 08;126;337;196;390;
13.01.2018;08 - 09;145;384;188;399;
13.01.2018;09 - 10;163;372;190;411;
13.01.2018;10 - 11;164;428;189;430;
13.01.2018;11 - 12;167;498;162;411;
13.01.2018;12 - 13;161;575;137;394;
13.01.2018;13 - 14;207;652;133;349;
13.01.2018;14 - 15;226;747;128;334;
13.01.2018;15 - 16;232;888;122;325;
13.01.2018;16 - 17;240;1013;121;340;
13.01.2018;17 - 18;247;1032;129;366;
13.01.2018;18 - 19;292;1018;134;401;
13.01.2018;19 - 20;319;1005;140;399;
13.01.2018;20 - 21;308;1022;143;406;
13.01.2018;21 - 22;302;1009;131;374;
13.01.2018;22 - 23;298;1073;133;360;
13.01.2018;23 - 00;321;1176;133;332;
14.01.2018;00 - 01;334;1187;140;295;
14.01.2018;01 - 02;362;1111;147;294;
14.01.2018;02 - 03;386;1046;159;299;
14.01.2018;03 - 04;374;1030;162;309;
14.01.2018;04 - 05;337;1034;152;338;
14.01.2018;05 - 06;319;1068;159;351;
14.01.2018;06 - 07;307;1111;180;391;
14.01.2018;07 - 08;283;1102;208;412;
14.01.2018;08 - 09;268;1146;229;443;
14.01.2018;09 - 10;255;1167;271;463;
14.01.2018;10 - 11;228;1172;302;497;
14.01.2018;11 - 12;222;1187;351;525;
14.01.2018;12 - 13;225;1206;379;527;
14.01.2018;13 - 14;215;1224;425;479;
14.01.2018;14 - 15;197;1211;474;448;
14.01.2018;15 - 16;231;1298;468;443;
14.01.2018;16 - 17;265;1411;502;459;
14.01.2018;17 - 18;289;1528;566;462;
14.01.2018;18 - 19;310;1558;668;517;
14.01.2018;19 - 20;340;1640;789;593;
14.01.2018;20 - 21;360;1682;892;679;
14.01.2018;21 - 22;376;1712;992;718;
14.01.2018;22 - 23;395;1752;1023;754;
14.01.2018;23 - 00;418;1805;1026;736;
15.01.2018;00 - 01;;;;;
15.01.2018;01 - 02;;;;;
15.01.2018;02 - 03;;;;;
15.01.2018;03 - 04;;;;;
15.01.2018;04 - 05;;;;;
15.01.2018;05 - 06;;;;;
15.01.2018;06 - 07;;;;;
15.01.2018;07 - 08;;;;;
15.01.2018;08 - 09;;;;;
15.01.2018;09 - 10;;;;;
15.01.2018;10 - 11;;;;;
15.01.2018;11 - 12;;;;;
15.01.2018;12 - 13;;;;;
15.01.2018;13 - 14;;;;;
15.01.2018;14 - 15;;;;;
15.01.2018;15 - 16;;;;;
15.01.2018;16 - 17;;;;;
15.01.2018;17 - 18;;;;;
15.01.2018;18 - 19;;;;;
15.01.2018;19 - 20;;;;;
15.01.2018;20 - 21;;;;;
15.01.2018;21 - 22;;;;;
15.01.2018;22 - 23;;;;;
15.01.2018;23 - 00;;;;;
16.01.2018;00 - 01;284;1633;1943;1386;
16.01.2018;01 - 02;266;1607;1941;1393;
16.01.2018;02 - 03;258;1612;1950;1392;
16.01.2018;03 - 04;238;1533;1943;1402;
16.01.2018;04 - 05;201;1489;1939;1411;
16.01.2018;05 - 06;172;1520;1932;1405;
16.01.2018;06 - 07;169;1508;1926;1390;
16.01.2018;07 - 08;181;1502;1927;1306;
16.01.2018;08 - 09;193;1494;1906;1160;
16.01.2018;09 - 10;198;1489;1876;1048;
16.01.2018;10 - 11;196;1480;1815;961;
16.01.2018;11 - 12;188;1465;1785;893;
16.01.2018;12 - 13;186;1456;1716;767;
16.01.2018;13 - 14;186;1426;1561;656;
16.01.2018;14 - 15;183;1419;1389;580;
16.01.2018;15 - 16;174;1447;1284;529;
16.01.2018;16 - 17;166;1445;1152;465;
16.01.2018;17 - 18;155;1426;1051;399;
16.01.2018;18 - 19;158;1405;981;379;
16.01.2018;19 - 20;149;1342;874;343;
16.01.2018;20 - 21;149;1243;777;340;
16.01.2018;21 - 22;147;1120;683;316;
16.01.2018;22 - 23;144;1084;594;298;
16.01.2018;23 - 00;129;1053;503;275;
17.01.2018;00 - 01;114;1043;457;261;
17.01.2018;01 - 02;125;1080;457;214;
17.01.2018;02 - 03;115;1070;430;189;
17.01.2018;03 - 04;99;1041;397;162;
17.01.2018;04 - 05;72;1009;392;131;
17.01.2018;05 - 06;65;906;373;102;
17.01.2018;06 - 07;60;926;333;81;
17.01.2018;07 - 08;67;867;333;77;
17.01.2018;08 - 09;60;828;351;84;
17.01.2018;09 - 10;62;747;352;97;
17.01.2018;10 - 11;82;678;323;100;
17.01.2018;11 - 12;85;619;276;96;
17.01.2018;12 - 13;65;559;221;99;
17.01.2018;13 - 14;61;506;200;107;
17.01.2018;14 - 15;50;484;207;106;
17.01.2018;15 - 16;44;505;198;110;
17.01.2018;16 - 17;58;476;231;117;
17.01.2018;17 - 18;50;446;229;143;
17.01.2018;18 - 19;45;425;231;172;
17.01.2018;19 - 20;34;389;252;164;
17.01.2018;20 - 21;33;370;248;170;
17.01.2018;21 - 22;34;350;226;176;
17.01.2018;22 - 23;35;350;221;178;
17.01.2018;23 - 00;40;367;207;171;
18.01.2018;00 - 01;45;355;182;160;
18.01.2018;01 - 02;48;345;164;169;
18.01.2018;02 - 03;53;319;165;142;
18.01.2018;03 - 04;64;295;139;121;
18.01.2018;04 - 05;57;296;136;111;
18.01.2018;05 - 06;58;261;134;110;
18.01.2018;06 - 07;44;236;153;119;
18.01.2018;07 - 08;54;186;140;138;
18.01.2018;08 - 09;49;162;139;125;
18.01.2018;09 - 10;49;142;137;108;
18.01.2018;10 - 11;55;125;140;102;
18.01.2018;11 - 12;51;108;129;112;
18.01.2018;12 - 13;52;91;111;152;
18.01.2018;13 - 14;45;81;94;131;
18.01.2018;14 - 15;42;86;97;140;
18.01.2018;15 - 16;33;80;114;169;
18.01.2018;16 - 17;30;70;123;187;
18.01.2018;17 - 18;31;69;136;189;
18.01.2018;18 - 19;35;64;128;193;
18.01.2018;19 - 20;40;55;130;168;
18.01.2018;20 - 21;40;49;118;142;
18.01.2018;21 - 22;40;48;97;121;
18.01.2018;22 - 23;24;41;86;102;
18.01.2018;23 - 00;23;39;63;77;
19.01.2018;00 - 01;19;36;54;64;
19.01.2018;01 - 02;18;38;49;54;
19.01.2018;02 - 03;30;38;41;50;
19.01.2018;03 - 04;28;34;38;47;
19.01.2018;04 - 05;26;38;37;50;
19.01.2018;05 - 06;24;42;42;41;
19.01.2018;06 - 07;23;41;31;29;
19.01.2018;07 - 08;23;43;24;25;
19.01.2018;08 - 09;19;55;25;20;
19.01.2018;09 - 10;15;72;33;21;
19.01.2018;10 - 11;15;100;38;21;
19.01.2018;11 - 12;16;135;42;20;
19.01.2018;12 - 13;15;177;49;26;
19.01.2018;13 - 14;14;214;51;25;
19.01.2018;14 - 15;15;272;58;31;
19.01.2018;15 - 16;19;333;84;36;
19.01.2018;16 - 17;18;367;104;45;
19.01.2018;17 - 18;19;386;124;36;
19.01.2018;18 - 19;21;396;165;32;
19.01.2018;19 - 20;20;396;195;45;
19.01.2018;20 - 21;21;374;211;66;
19.01.2018;21 - 22;19;365;244;82;
19.01.2018;22 - 23;20;387;244;82;
19.01.2018;23 - 00;25;374;227;84;
20.01.2018;00 - 01;34;379;223;82;
20.01.2018;01 - 02;39;355;194;78;
20.01.2018;02 - 03;45;388;178;85;
20.01.2018;03 - 04;46;361;179;78;
20.01.2018;04 - 05;47;333;161;76;
20.01.2018;05 - 06;51;297;188;69;
20.01.2018;06 - 07;59;280;214;81;
20.01.2018;07 - 08;49;282;213;95;
20.01.2018;08 - 09;36;246;242;96;
20.01.2018;09 - 10;24;298;258;81;
20.01.2018;10 - 11;20;292;264;77;
20.01.2018;11 - 12;21;256;219;73;
20.01.2018;12 - 13;18;229;188;81;
20.01.2018;13 - 14;16;243;168;94;
20.01.2018;14 - 15;19;305;177;114;
20.01.2018;15 - 16;15;292;213;145;
20.01.2018;16 - 17;14;275;239;177;
20.01.2018;17 - 18;11;274;254;185;
20.01.2018;18 - 19;9;251;281;195;
20.01.2018;19 - 20;6;171;272;216;
20.01.2018;20 - 21;7;145;265;220;
20.01.2018;21 - 22;7;126;279;190;
20.01.2018;22 - 23;6;121;302;164;
20.01.2018;23 - 00;7;129;313;152;
21.01.2018;00 - 01;4;86;297;148;
21.01.2018;01 - 02;4;58;271;133;
21.01.2018;02 - 03;5;39;243;139;
21.01.2018;03 - 04;6;29;232;127;
21.01.2018;04 - 05;6;35;229;104;
21.01.2018;05 - 06;9;34;221;87;
21.01.2018;06 - 07;9;31;223;77;
21.01.2018;07 - 08;10;28;236;79;
