Consumption SE areas in MWh;;;;;;
Data was last updated 11-01-2018;;;;;;
;Hours;SE1;SE2;SE3;SE4;SE
01.01.2016;00 - 01;1052;1761;9912;2707;15432
01.01.2016;01 - 02;1088;1796;9683;2624;15190
01.01.2016;02 - 03;1078;1702;9457;2543;14779
01.01.2016;03 - 04;1070;1645;9287;2480;14482
01.01.2016;04 - 05;1081;1623;9208;2467;14378
01.01.2016;05 - 06;1073;1617;9253;2517;14461
01.01.2016;06 - 07;1112;1689;9513;2605;14919
01.01.2016;07 - 08;1088;1671;9744;2636;15139
01.01.2016;08 - 09;1170;1866;9947;2646;15628
01.01.2016;09 - 10;1116;1906;10052;2657;15731
01.01.2016;10 - 11;1065;1974;10333;2733;16105
01.01.2016;11 - 12;1210;1987;10684;2825;16706
01.01.2016;12 - 13;1197;2100;10895;2899;17091
01.01.2016;13 - 14;1229;2113;10953;2944;17238
01.01.2016;14 - 15;1203;2167;11144;2967;17481
01.01.2016;15 - 16;1171;2256;11544;3059;18030
01.01.2016;16 - 17;1228;2277;11862;3212;18580
01.01.2016;17 - 18;1236;2230;11945;3256;18668
01.01.2016;18 - 19;1236;2067;11824;3192;18320
01.01.2016;19 - 20;1107;2169;11481;3034;17790
01.01.2016;20 - 21;1143;2213;11101;2963;17419
01.01.2016;21 - 22;1179;2240;10763;2874;17056
01.01.2016;22 - 23;1236;2150;10310;2792;16487
01.01.2016;23 - 00;1192;2202;9950;2684;16028
02.01.2016;00 - 01;1214;2141;9600;2421;15375
02.01.2016;01 - 02;1207;2084;9383;2356;15030
02.01.2016;02 - 03;1163;1940;9357;2360;14821
02.01.2016;03 - 04;1161;1829;9417;2369;14776
02.01.2016;04 - 05;1160;1900;9582;2459;15101
02.01.2016;05 - 06;1158;2062;9798;2580;15598
02.01.2016;06 - 07;1207;2125;9982;2696;16010
02.01.2016;07 - 08;1346;2216;10389;2817;16767
02.01.2016;08 - 09;1282;2274;10831;3005;17391
02.01.2016;09 - 10;1272;2406;11275;3174;18128
02.01.2016;10 - 11;1295;2347;11773;3435;18849
02.01.2016;11 - 12;1265;2116;12077;3491;18949
02.01.2016;12 - 13;1231;2293;12331;3589;19444
02.01.2016;13 - 14;1239;2302;12354;3596;19491
02.01.2016;14 - 15;1299;2365;12407;3611;19681
02.01.2016;15 - 16;1347;2499;12748;3705;20298
02.01.2016;16 - 17;1349;2517;13144;3853;20863
02.01.2016;17 - 18;1304;2534;13239;3857;20934
