Consumption SE areas in MWh;;;;;
Data was last updated 01-01-2019;;;;;
;SE1;SE2;SE3;SE4;SE
01.01.2017;28013;56997;225625;63593;374228
02.01.2017;32435;66614;293492;86296;478835
03.01.2017;33902;68068;307553;88144;497661
04.01.2017;35398;71588;317351;90080;514413
05.01.2017;38122;78254;356838;102740;575948
06.01.2017;34776;70734;337208;101547;544262
07.01.2017;31418;64500;302149;91695;489759
08.01.2017;29261;61095;297168;85547;473074
09.01.2017;29710;62224;298621;90122;480671
10.01.2017;28981;62750;302463;92593;486782
11.01.2017;29662;59147;306012;93227;488043
12.01.2017;30471;64336;302355;90446;487602
13.01.2017;31069;66529;302101;90919;490616
14.01.2017;29778;62543;285007;82603;459927
15.01.2017;31255;63969;294712;84354;474289
16.01.2017;32539;69237;330455;99113;531345
17.01.2017;32413;64062;326190;98795;521459
18.01.2017;31407;63651;306035;91628;492719
19.01.2017;31208;63889;288718;86289;470102
20.01.2017;31579;61195;278474;82217;453460
21.01.2017;29943;58205;267846;78355;434343
22.01.2017;28771;59206;274764;81474;444216
23.01.2017;31485;62350;296723;87871;478431
24.01.2017;35530;67119;307193;87593;497432
25.01.2017;31353;60881;301651;88141;482024
26.01.2017;29088;60695;291125;90957;471860
27.01.2017;28825;59538;301335;90032;479732
28.01.2017;28321;60588;283418;82139;454459
29.01.2017;27770;59051;282640;84522;453981
30.01.2017;30664;62160;293443;88222;474485
31.01.2017;31737;66874;300171;89271;488050
01.02.2017;28757;61414;308629;90087;488887
02.02.2017;30601;58385;307317;90141;486440
03.02.2017;31476;59153;302467;89943;483034
04.02.2017;28898;54454;278895;79553;441791
05.02.2017;28865;55722;282559;79149;446285
06.02.2017;30125;58085;317854;90256;496320
07.02.2017;31828;59096;332477;96414;519812
08.02.2017;33791;62732;335274;97466;529257
09.02.2017;32978;62119;327796;99180;522069
10.02.2017;33055;62777;317281;93452;506563
11.02.2017;32175;55541;294204;80116;462033
12.02.2017;29901;52078;308994;79253;470222
13.02.2017;28883;49807;324490;92552;495732
14.02.2017;25832;48538;302535;89756;466656
15.02.2017;28489;52055;307400;86547;474481
16.02.2017;28916;53383;306399;86442;475135
17.02.2017;27929;49697;287841;82504;447964
18.02.2017;27827;49368;271568;74940;423705
19.02.2017;28578;45085;254345;72182;400183
20.02.2017;31479;53050;280702;79264;444494
21.02.2017;32224;54961;289010;80314;456504
22.02.2017;33049;59132;295972;76831;464980
23.02.2017;33487;55667;300060;81093;470301
24.02.2017;32830;55212;302979;83555;474572
25.02.2017;30299;54979;279432;74351;439058
26.02.2017;30799;53962;266300;69743;420799
27.02.2017;33279;60095;289220;76528;459116
28.02.2017;30938;60286;280462;79788;451467
01.03.2017;29750;57235;287314;78551;452847
02.03.2017;28378;53381;288290;82088;452134
03.03.2017;30281;58552;282167;80706;451697
04.03.2017;28820;55588;264966;72053;421427
05.03.2017;29681;55048;279254;73578;437560
06.03.2017;32598;60030;307906;89312;489838
07.03.2017;31974;59035;321650;93808;506460
08.03.2017;32999;59114;310846;89108;492060
09.03.2017;31440;56203;297070;85634;470341
10.03.2017;30178;52614;283870;78253;444910
11.03.2017;27832;46194;261642;71049;406710
12.03.2017;27032;49536;256733;73295;406590
13.03.2017;29341;51247;286273;82628;449484
14.03.2017;28723;50485;277515;79706;436428
15.03.2017;27681;47680;270874;77670;423896
16.03.2017;27243;49420;271291;78015;425964
17.03.2017;27541;50667;260196;74984;413387
18.03.2017;27217;49873;249520;70050;396656
19.03.2017;27385;49588;260066;76097;413135
20.03.2017;28604;52180;284447;79216;444441
21.03.2017;28826;50343;268309;70991;418465
22.03.2017;27416;50566;275521;75363;428865
23.03.2017;27624;52672;269571;75912;425775
24.03.2017;28030;52834;265262;73813;419934
25.03.2017;24559;45721;237197;64624;372092
26.03.2017;24678;44055;212774;59772;341274
27.03.2017;28502;49637;241034;72326;391496
28.03.2017;28704;50197;243507;73649;396054
29.03.2017;28459;53066;261226;76730;419477
30.03.2017;29275;52686;270038;75882;427878
31.03.2017;29425;50751;258430;67581;406181
01.04.2017;27417;47281;227785;57696;360177
02.04.2017;27461;46416;214785;58729;347385
03.04.2017;27696;49467;248240;68515;393917
04.04.2017;26541;45530;246309;71329;389698
05.04.2017;25474;47451;247983;70643;391546
06.04.2017;27432;49437;253249;71458;401574
07.04.2017;27978;49851;236903;66525;381252
08.04.2017;26665;44549;219875;60801;351889
09.04.2017;27030;43078;214509;58045;342662
10.04.2017;28317;47238;244531;66207;386288
11.04.2017;27938;49966;253788;71332;403021
12.04.2017;28327;51519;256681;70903;407428
13.04.2017;28433;52214;257141;69762;407543
14.04.2017;28177;52114;241276;59593;381154
15.04.2017;26410;48543;238045;62781;375775
16.04.2017;26120;47706;235520;62474;371815
17.04.2017;25980;47653;241548;64198;379372
18.04.2017;27717;50481;265875;77203;421273
19.04.2017;26705;50074;258291;76541;411612
20.04.2017;25696;47474;251440;75120;399726
21.04.2017;25783;45324;240541;71392;383031
22.04.2017;25205;43703;227263;62147;358312
23.04.2017;25666;44489;227112;61614;358877
24.04.2017;26727;41478;258037;73546;399792
25.04.2017;26928;42569;268587;75306;413386
26.04.2017;26749;43008;258954;72586;401291
27.04.2017;26082;42234;250523;70821;389658
28.04.2017;25697;44650;247100;67901;385338
29.04.2017;24940;43746;231432;63688;363800
30.04.2017;26275;45183;218631;58645;348729
01.05.2017;24850;41305;208562;56007;330717
