Production SE areas in MWh;;;;;
Data was last updated 01-01-2019;;;;;
;SE1;SE2;SE3;SE4;SE
01.01.2017;29212;79120;278216;28794;415339
02.01.2017;63785;132173;290984;24635;511577
03.01.2017;61252;130030;284734;30134;506158
04.01.2017;57768;131880;301926;43707;535281
05.01.2017;88691;151081;295467;34777;570019
06.01.2017;86298;165970;298553;21482;572303
07.01.2017;68033;132642;288323;27280;516270
08.01.2017;70226;119826;280950;16711;487714
09.01.2017;77741;137839;288201;24369;528153
10.01.2017;71890;136279;300792;33977;542939
11.01.2017;58749;130230;309220;42989;541190
12.01.2017;76159;116890;309003;42968;545029
13.01.2017;78193;140559;290211;21495;530460
14.01.2017;56725;129471;278587;19230;484011
15.01.2017;64794;149154;290260;23189;527397
16.01.2017;87326;162073;300209;22735;572344
17.01.2017;82076;157315;302946;21071;563409
18.01.2017;78954;154998;288177;31486;553612
19.01.2017;67942;161179;284071;32738;545932
20.01.2017;73685;145131;284766;29488;533067
21.01.2017;60044;146428;279082;17258;502808
22.01.2017;60951;145528;301554;20166;528200
23.01.2017;78533;162907;303271;25020;569727
24.01.2017;86796;157565;288460;19928;552748
25.01.2017;81060;159513;299458;21545;561573
26.01.2017;79509;154599;302827;23298;560233
27.01.2017;66149;156589;288759;20401;531890
28.01.2017;46702;143287;287239;20071;497299
29.01.2017;41101;137583;288396;27286;494368
30.01.2017;73558;156379;280891;21659;532486
31.01.2017;79080;139240;275704;24146;518168
01.02.2017;77312;140870;284234;18628;521044
02.02.2017;75590;141184;284664;22054;523491
03.02.2017;82079;137258;282665;23247;525259
04.02.2017;62617;127052;280230;23529;493427
05.02.2017;63828;115868;285885;27001;492582
06.02.2017;81770;133730;294677;30320;540491
07.02.2017;84451;133554;304717;35416;558139
08.02.2017;86257;139122;307982;34741;568106
09.02.2017;88314;148465;304323;22224;563330
10.02.2017;78569;139521;295726;29615;543429
11.02.2017;51337;125261;281960;31379;489941
12.02.2017;52927;137961;278295;21486;490663
13.02.2017;67456;167541;296926;15955;547879
14.02.2017;59212;156275;289779;15652;520914
15.02.2017;68838;146267;290318;14730;520154
16.02.2017;63774;141430;294636;23078;522919
17.02.2017;74733;156043;288934;17122;536834
18.02.2017;58939;136119;291547;16880;503484
19.02.2017;41073;92816;299169;32077;465133
20.02.2017;57861;102417;294491;41215;495984
21.02.2017;64767;108759;284025;37965;495513
22.02.2017;52400;121047;299474;40934;513853
23.02.2017;67295;141474;293125;28742;530634
24.02.2017;73163;155365;298114;27884;554525
25.02.2017;61272;135535;290944;26368;514119
26.02.2017;43589;99741;278779;28972;451085
27.02.2017;67350;133447;291762;28596;521153
28.02.2017;65162;130533;297581;32647;525922
01.03.2017;74486;128020;299105;32525;534139
02.03.2017;74329;131338;287723;20415;513807
03.03.2017;78853;127504;290361;31229;527945
04.03.2017;64654;114625;282235;24994;486510
05.03.2017;43721;93148;307313;39414;483597
06.03.2017;62338;125952;316624;39397;544310
07.03.2017;76474;138876;309980;29566;554901
08.03.2017;68988;131713;293173;25286;519158
09.03.2017;73679;135408;298940;21978;529999
10.03.2017;68817;133194;287748;22169;511927
11.03.2017;50734;121950;277177;15039;464900
12.03.2017;39800;102842;280906;15349;438898
13.03.2017;70798;135675;294772;18755;520001
14.03.2017;61695;129071;303090;27847;521696
15.03.2017;53817;128234;308907;44294;535253
16.03.2017;71040;127413;287192;28630;514276
