Production SE areas in MWh;;;;;;
Data was last updated 11-01-2018;;;;;;
;Hours;SE1;SE2;SE3;SE4;SE
01.01.2016;00 - 01;2291;4288;10470;1006;18054
01.01.2016;01 - 02;2066;4082;10386;989;17523
01.01.2016;02 - 03;2065;3904;10248;969;17186
01.01.2016;03 - 04;2059;3852;10218;950;17078
01.01.2016;04 - 05;2051;3833;10198;934;17016
01.01.2016;05 - 06;2044;3985;10194;923;17145
01.01.2016;06 - 07;2222;4620;10254;912;18008
01.01.2016;07 - 08;2644;4922;10417;997;18979
01.01.2016;08 - 09;3225;5330;10389;993;19937
01.01.2016;09 - 10;3338;5505;10398;991;20232
01.01.2016;10 - 11;3495;5925;10490;986;20896
01.01.2016;11 - 12;3745;6037;10531;977;21290
01.01.2016;12 - 13;3895;6323;10572;978;21768
01.01.2016;13 - 14;3947;6431;10572;982;21933
01.01.2016;14 - 15;4046;6596;10584;982;22208
01.01.2016;15 - 16;4136;6843;10639;986;22604
01.01.2016;16 - 17;4280;7125;10802;931;23138
01.01.2016;17 - 18;4276;7104;10884;977;23240
01.01.2016;18 - 19;4278;6923;10887;1082;23170
01.01.2016;19 - 20;4150;6846;10719;1119;22835
01.01.2016;20 - 21;3984;6552;10696;1163;22396
01.01.2016;21 - 22;3880;6341;10622;1224;22067
01.01.2016;22 - 23;3679;5833;10566;1284;21362
01.01.2016;23 - 00;3166;5385;10433;1325;20309
02.01.2016;00 - 01;2622;4453;10373;1323;18771
02.01.2016;01 - 02;2291;3930;10377;1370;17968
02.01.2016;02 - 03;1957;3383;10418;1463;17221
02.01.2016;03 - 04;1768;3075;10425;1540;16808
02.01.2016;04 - 05;1727;2995;10425;1617;16764
02.01.2016;05 - 06;1704;3124;10443;1685;16957
02.01.2016;06 - 07;1766;3227;10481;1785;17259
02.01.2016;07 - 08;2738;3538;10576;1800;18652
02.01.2016;08 - 09;3348;4258;10714;1852;20173
02.01.2016;09 - 10;3658;4965;10754;1874;21251
02.01.2016;10 - 11;3761;5288;10866;1919;21834
02.01.2016;11 - 12;3804;5390;10936;1894;22024
02.01.2016;12 - 13;3796;5940;11050;1907;22693
02.01.2016;13 - 14;3757;5945;11110;1904;22716
02.01.2016;14 - 15;3782;6087;11112;1907;22888
02.01.2016;15 - 16;3874;6293;11109;1899;23175
02.01.2016;16 - 17;3925;6378;11131;1888;23322
02.01.2016;17 - 18;3920;6451;11192;1898;23460
02.01.2016;18 - 19;3904;6417;11220;1903;23445
