Wind power SE in MWh;;;;;;
Data was last updated 24-09-2018;;;;;;
;Hours;SE1;SE2;SE3;SE4;SE
01.01.2017;00 - 01;264;876;1252;1191;3584
01.01.2017;01 - 02;200;829;1159;1184;3372
01.01.2017;02 - 03;188;784;1071;1193;3235
01.01.2017;03 - 04;157;671;969;1206;3003
01.01.2017;04 - 05;133;568;983;1198;2881
01.01.2017;05 - 06;111;507;952;1169;2738
01.01.2017;06 - 07;150;408;944;1091;2593
01.01.2017;07 - 08;172;441;933;1010;2555
01.01.2017;08 - 09;164;487;920;933;2504
01.01.2017;09 - 10;180;451;849;856;2336
01.01.2017;10 - 11;219;421;789;762;2190
01.01.2017;11 - 12;223;473;710;628;2035
01.01.2017;12 - 13;212;614;623;462;1910
01.01.2017;13 - 14;219;673;622;417;1931
01.01.2017;14 - 15;213;691;682;408;1995
01.01.2017;15 - 16;194;745;749;356;2043
01.01.2017;16 - 17;172;864;829;350;2215
01.01.2017;17 - 18;130;968;914;340;2352
01.01.2017;18 - 19;107;1069;1002;389;2567
01.01.2017;19 - 20;92;1036;1036;416;2580
01.01.2017;20 - 21;137;965;1097;441;2640
01.01.2017;21 - 22;143;988;1048;442;2621
01.01.2017;22 - 23;98;1009;993;402;2503
01.01.2017;23 - 00;102;884;1065;394;2444
02.01.2017;00 - 01;108;824;1128;421;2480
02.01.2017;01 - 02;96;781;1058;479;2412
02.01.2017;02 - 03;99;689;1055;524;2368
02.01.2017;03 - 04;113;710;1051;511;2385
02.01.2017;04 - 05;95;811;1075;498;2479
02.01.2017;05 - 06;71;807;1048;509;2435
02.01.2017;06 - 07;54;742;1055;481;2334
02.01.2017;07 - 08;65;677;950;505;2197
02.01.2017;08 - 09;51;582;909;504;2046
02.01.2017;09 - 10;41;575;860;443;1920
02.01.2017;10 - 11;38;570;779;359;1746
02.01.2017;11 - 12;43;557;707;347;1655
02.01.2017;12 - 13;47;538;675;344;1604
02.01.2017;13 - 14;48;573;644;325;1589
02.01.2017;14 - 15;47;572;628;325;1572
02.01.2017;15 - 16;61;568;688;321;1638
02.01.2017;16 - 17;62;555;733;363;1712
02.01.2017;17 - 18;54;561;795;379;1789
02.01.2017;18 - 19;41;531;793;368;1733
02.01.2017;19 - 20;33;481;754;358;1626
02.01.2017;20 - 21;37;416;681;348;1482
02.01.2017;21 - 22;30;384;613;344;1371
02.01.2017;22 - 23;16;322;508;315;1162
02.01.2017;23 - 00;12;268;450;303;1033
03.01.2017;00 - 01;12;197;326;352;888
03.01.2017;01 - 02;12;162;306;318;798
03.01.2017;02 - 03;13;118;307;318;756
03.01.2017;03 - 04;13;90;310;363;776
03.01.2017;04 - 05;19;106;388;336;849
03.01.2017;05 - 06;27;159;478;341;1006
03.01.2017;06 - 07;34;240;534;378;1186
03.01.2017;07 - 08;24;398;583;400;1406
03.01.2017;08 - 09;27;594;600;379;1600
03.01.2017;09 - 10;28;781;651;461;1921
03.01.2017;10 - 11;51;816;760;467;2093
03.01.2017;11 - 12;67;775;860;506;2209
03.01.2017;12 - 13;62;820;912;495;2289
03.01.2017;13 - 14;73;953;1030;526;2582
03.01.2017;14 - 15;71;957;1022;652;2702
03.01.2017;15 - 16;96;999;1207;863;3165
03.01.2017;16 - 17;119;1052;1217;1113;3501
03.01.2017;17 - 18;159;1051;1191;1197;3598
03.01.2017;18 - 19;196;1068;1292;1297;3853
03.01.2017;19 - 20;174;1085;1378;1332;3969
03.01.2017;20 - 21;168;1103;1401;1356;4028
03.01.2017;21 - 22;192;1076;1410;1371;4051
03.01.2017;22 - 23;208;1126;1448;1340;4122
03.01.2017;23 - 00;211;1151;1354;1319;4035
04.01.2017;00 - 01;215;1123;1302;1323;3963
04.01.2017;01 - 02;208;1191;1414;1329;4142
04.01.2017;02 - 03;211;1195;1509;1326;4240
04.01.2017;03 - 04;203;1230;1537;1262;4232
04.01.2017;04 - 05;219;1150;1537;1198;4104
04.01.2017;05 - 06;220;1112;1541;1135;4008
04.01.2017;06 - 07;193;1102;1500;1181;3976
04.01.2017;07 - 08;158;974;1487;1256;3874
04.01.2017;08 - 09;146;934;1507;1240;3827
04.01.2017;09 - 10;128;972;1437;1177;3715
04.01.2017;10 - 11;99;889;1414;1161;3564
04.01.2017;11 - 12;99;866;1343;1180;3488
04.01.2017;12 - 13;102;758;1314;1151;3325
04.01.2017;13 - 14;100;724;1302;1081;3207
04.01.2017;14 - 15;110;622;1277;1059;3068
04.01.2017;15 - 16;96;565;1335;1087;3084
04.01.2017;16 - 17;93;504;1364;1123;3083
04.01.2017;17 - 18;77;441;1399;1156;3073
04.01.2017;18 - 19;73;373;1435;1171;3052
04.01.2017;19 - 20;66;319;1359;1169;2913
04.01.2017;20 - 21;53;298;1354;1156;2860
04.01.2017;21 - 22;45;255;1360;1087;2747
04.01.2017;22 - 23;52;241;1270;1058;2620
04.01.2017;23 - 00;66;253;1237;1009;2565
05.01.2017;00 - 01;85;268;1284;845;2482
05.01.2017;01 - 02;108;287;1252;861;2507
05.01.2017;02 - 03;104;309;1206;835;2454
05.01.2017;03 - 04;108;327;1138;829;2402
05.01.2017;04 - 05;116;316;1080;813;2325
05.01.2017;05 - 06;112;309;997;765;2184
05.01.2017;06 - 07;130;256;968;840;2194
05.01.2017;07 - 08;143;233;939;848;2163
05.01.2017;08 - 09;142;235;879;836;2092
05.01.2017;09 - 10;123;202;835;789;1949
05.01.2017;10 - 11;118;149;651;748;1667
05.01.2017;11 - 12;124;122;489;755;1490
05.01.2017;12 - 13;109;94;384;760;1348
05.01.2017;13 - 14;94;90;327;727;1238
05.01.2017;14 - 15;92;88;284;637;1101
05.01.2017;15 - 16;76;98;265;583;1022
05.01.2017;16 - 17;73;133;249;582;1037
05.01.2017;17 - 18;88;149;221;587;1045
05.01.2017;18 - 19;113;233;203;564;1114
05.01.2017;19 - 20;136;287;205;515;1142
05.01.2017;20 - 21;147;404;230;504;1284
05.01.2017;21 - 22;192;459;337;490;1479
05.01.2017;22 - 23;259;657;445;453;1814
05.01.2017;23 - 00;307;811;594;434;2146
06.01.2017;00 - 01;346;927;679;451;2402
06.01.2017;01 - 02;363;1134;707;425;2629
06.01.2017;02 - 03;390;1179;748;367;2684
